shape function name	shape name	super class	set of base actions	turn angles
equilateral_traingle	equilateral triangle	triangle	line_1.0, line_1.0, line_1.0	L0--L120.0--L120.0
acute_equi_triangle	acute equicrural triangle	triangle	line_1.0, line_1.0, line_0.518	L0--L150.0--L105.0
obtuse_equi_triangle	obtuse equicrural triangle	triangle	line_1.0, line_0.577, line_0.577	L0--L150.0--L60.0
right_equi_triangle	right equicrural triangle	triangle	line_1.0, line_0.707, line_0.707	L0--L135.0--L90.0
acute_nonequi_triangle	acute non-equicrural triangle	triangle	line_1.0, line_0.732, line_0.897	L0--L120.0--L105.0
obtuse_nonequi_triangle	obtuse non-equicrural triangle	triangle	line_1.0, line_0.732, line_0.518	L0--L150.0--L75.0
thin_obtuse_nonequi_triangle	thin obtuse non-equicrural triangle	triangle	line_1.0, line_0.707, line_0.366	L0--L165.0--L45.0
right_nonequi_triangle	right non-equicrural triangle	triangle	line_1.0, line_0.5, line_0.866	L0--L120.0--L90.0
sector30	sector30	sector	line_0.5, line_0.5, arc_0.5_30.0	L0--L150.0--L90.0
inverse_sector30	inverse sector30	sector	line_0.5, line_0.5, arc_0.5_30.0	L0--R150.0--R120.0
sector90	sector90	sector	line_0.5, line_0.5, arc_0.5_90.0	L0--L90.0--L90.0
inverse_sector90	inverse sector90	sector	line_0.5, line_0.5, arc_0.5_90.0	L0--R90.0--R180.0
sector180	sector180	sector	line_1.0, arc_0.5_180.0	L0--L90.0
sector270	sector270	sector	line_0.5, line_0.5, arc_0.5_270.0	L0--R90.0--L90.0
inverse_sector270	inverse sector270	sector	line_0.5, line_0.5, arc_0.5_270.0	L0--L90.0--L0.0
sector330	sector330	sector	line_0.5, line_0.5, arc_0.5_330.0	L0--R150.0--L90.0
inverse_sector330	inverse sector330	sector	line_0.5, line_0.5, arc_0.5_330.0	L0--L150.0--R60.0
quasi_sector73	quasi-sector73	sector	line_0.922, line_0.608, arc_0.5_73.74	L0--L140.064--L43.668
inverse_quasi_sector73	inverse quasi-sector73	sector	line_0.922, line_0.608, arc_0.5_73.74	L0--R140.064--R117.408
quasi_sector90	quasi-sector90	sector	line_0.657, line_0.252, arc_0.5_90.0	L0--L89.843--L66.407
inverse_quasi_sector90	inverse quasi-sector90	sector	line_0.67, line_0.22, arc_0.5_90.0	L0--R90.451--R152.45
quasi_sector270	quasi-sector270	sector	line_0.224, line_0.671, arc_0.5_270.0	L0--R90.0--L63.435
quasi_inverse_sector270	inverse quasi-sector270	sector	line_0.244, line_0.671, arc_0.5_270.0	L0--L90.0--L26.565
quasi_sector330	quasi-sector330	sector	line_0.439, line_0.583, arc_0.5_330.0	L0--R156.246--L59.036
quasi_inverse_sector330	inverse quasi-sector330	sector	line_0.445, line_0.583, arc_0.5_330.0	L0--L155.921--R30.964
open_semi_circle	open semi-circle	arc	arc_0.5_180.0	L0
open_onequarter_circle	open 1/4-circle	arc	arc_0.5_90.0	L0
open_threequarter_circle	open 3/4-circle	arc	arc_0.5_270.0	L0
closed_semi_circle	closed semi-circle	arc	arc_0.5_180.0, line_1.0	L0--L90.0
closed_onequarter_circle	closed 1/4-circle	arc	arc_0.5_90.0, line_0.707	L0--L135.0
closed_threequarter_circle	closed 3/4-circle	arc	arc_0.5_270.0, line_0.707	L0--L45.0
closed_circle	circle	arc	arc_0.5_360.0	L0
crescent_moon	crescent moon	arc	arc_0.5_210.0, arc_0.5_-150.0	L0--R30.0
almost_full_moon	almost full moon	arc	arc_0.5_270.0, arc_0.5_-90.0	L0--R90.0
small_intersect_circle	small linersection of two circles	arc	arc_0.5_90.0, arc_0.5_90.0	L0--L90.0
large_intersect_circle	large linersection of two circles	arc	arc_0.5_150.0, arc_0.5_150.0	L0--L30.0
small_union_circle	small union of two circles	arc	arc_0.5_210.0, arc_0.5_210.0	L0--R30.0
large_union_circle	large union of two circles	arc	arc_0.5_270.0, arc_0.5_270.0	L0--R90.0
square	square	quadrangle	line_1.0, line_1.0, line_1.0, line_1.0	L0--L90.0--L90.0--L90.0
rectangle	rectangle	quadrangle	line_1.0, line_0.6, line_1.0, line_0.6	L0--L90.0--L90.0--L90.0
thin_rectangle	thin rectangle	quadrangle	line_1.0, line_0.2, line_1.0, line_0.2	L0--L90.0--L90.0--L90.0
square_parallelogram30	square parallelogram30	quadrangle	line_0.6, line_0.6, line_0.6, line_0.6	L0--L30.0--L150.0--L30.0
square_parallelogram60	square parallelogram60	quadrangle	line_0.8, line_0.8, line_0.8, line_0.8	L0--L60.0--L120.0--L60.0
rect_parallelogram30	rectangle parallelogram30	quadrangle	line_0.8, line_0.5, line_0.8, line_0.5	L0--L30.0--L150.0--L30.0
rect_parallelogram60	rectangle parallelogram60	quadrangle	line_0.8, line_0.5, line_0.8, line_0.5	L0--L60.0--L120.0--L60.0
thin_rect_parallelogram30	thin rectangle parallelogram30	quadrangle	line_1.0, line_0.2, line_1.0, line_0.2	L0--L30.0--L150.0--L30.0
thin_rect_parallelogram60	thin rectangle parallelogram60	quadrangle	line_1.0, line_0.2, line_1.0, line_0.2	L0--L60.0--L120.0--L60.0
isosceles_trapezoid	isosceles trapezoid	quadrangle	line_1.0, line_0.536, line_0.464, line_0.536	L0--L120.0--L60.0--L60.0
thin_isosceles_trapezoid	thin isosceles trapezoid	quadrangle	line_1.0, line_0.283, line_0.6, line_0.283	L0--L135.0--L45.0--L45.0
right_trapezoid	right trapezoid	quadrangle	line_1.0, line_0.707, line_0.5, line_0.5	L0--L135.0--L45.0--L90.0
thin_right_trapezoid	thin right trapezoid	quadrangle	line_1.0, line_0.295, line_0.792, line_0.208	L0--L135.0--L45.0--L90.0
acute_nonisosc_trapezoid	acute non-isosceles trapezoid	quadrangle	line_1.0, line_0.387, line_0.553, line_0.223	L0--L150.0--L30.0--L60.0
obtuse_nonisosc_trapezoid	obtuse non-isosceles trapezoid	quadrangle	line_1.0, line_0.5, line_0.5, line_0.866	L0--L60.0--L120.0--L30.0
symmetric_dagger	symmetric dagger	quadrangle	line_0.563, line_0.563, line_1.0, line_1.0	L0--R61.93--L150.02--L121.89
inverse_symm_dagger	inverse symmetric dagger	quadrangle	line_0.563, line_0.563, line_1.0, line_1.0	L0--L61.93--L88.09--L121.89
thin_symm_dagger	thin symmetric dagger	quadrangle	line_0.32, line_0.32, line_0.91, line_0.91	L0--R143.13--L167.91--L167.32
thin_inverse_symm_dagger	thin inverse symmetric dagger	quadrangle	line_0.32, line_0.32, line_0.91, line_0.91	L0--L143.13--L24.78--L167.32
asymmetric_dagger	asymmetric dagger	quadrangle	line_0.408, line_0.738, line_1.0, line_1.0	L0--R68.2--L142.25--L121.89
inverse_asymm_dagger	inverse asymmetric dagger	quadrangle	line_0.408, line_0.738, line_1.0, line_1.0	L0--L68.2--L95.86--L121.89
half_dagger	half dagger	quadrangle	line_0.32, line_0.563, line_1.0, line_0.66	L0--R30.33--L150.02--L121.88
thin_half_dagger	thin half dagger	quadrangle	line_0.07, line_0.32, line_0.91, line_0.6	L0--R71.16--L167.91--L167.25
irregular_quadrangle	irregular quadrangle	quadrangle	line_0.63, line_0.45, line_0.99, line_0.76	L0--L45.0--L108.43--L111.8
square_funnel	square funnel	quadrangle*	line_0.99, line_0.7, line_0.99, line_0.7	L0--R135.0--R135.0--L135.0
rect_funnel	rectangle funnel	quadrangle*	line_0.94, line_0.5, line_0.94, line_0.5	L0--R122.01--R122.01--L122.01
thin_rect_funnel	thin rectangle funnel	quadrangle*	line_1.0, line_0.196, line_1.0, line_0.196	L0--R101.31--R101.31--L101.31
symm_parallel_funnel	symmetric parallelogram funnel	quadrangle*	line_0.86, line_0.3, line_0.86, line_0.7	L0--R125.54--R125.54--L125.54
asymm_parallel_funnel	asymmetric parallelogram funnel	quadrangle*	line_0.76, line_0.3, line_0.99, line_0.7	L0--R113.2--R135.0--L135.0
symmetric_bat	symmetric bat	quadrangle*	line_1.0, line_0.63, line_1.0, line_0.63	L0--R108.43--R145.3--L108.43
thin_symm_bat	thin symmetric bat	quadrangle*	line_1.0, line_0.89, line_1.0, line_0.89	L0--R116.57--R169.7--L116.57
asymmetric_bat	asymmetric bat	quadrangle*	line_0.98, line_0.41, line_1.0, line_0.89	L0--R99.93--R157.17--L116.57
flat_symm_bat	flat symmetric bat	quadrangle*	line_0.82, line_0.28, line_0.82, line_0.28	L0--R59.04--R149.04--L59.04
regular_pentagon	regular pentagon	pentagon	line_0.62, line_0.62, line_0.62, line_0.62, line_0.62	L0--L72.0--L72.0--L72.0--L72.0
inverse_regular_pentagon	inverse regular pentagon	pentagon	line_0.62, line_0.62, line_0.62, line_0.62, line_0.62	L0--L72.0--L144.0--R72.0--L144.0
symmetric_house	symmetric house	pentagon	line_1.0, line_0.6, line_0.64, line_0.64, line_0.6	L0--L90.0--L51.34--L77.32--L51.34
inverse_symmetric_house	inverse symmetric house	pentagon	line_1.0, line_0.6, line_0.64, line_0.64, line_0.6	L0--L90.0--L128.66--R77.32--L128.66
asymmetric_house	asymmetric house	pentagon	line_1.0, line_0.6, line_0.5, line_0.81, line_0.6	L0--L90.0--L36.87--L82.87--L60.26
inverse_asymmetric_house	inverse asymmetric house	pentagon	line_1.0, line_0.6, line_0.5, line_0.81, line_0.6	L0--L90.0--L143.13--R82.87--L119.74
symmetric_moth	symmetric moth	pentagon	line_1.0, line_0.63, line_0.36, line_0.36, line_0.63	L0--L108.43--L37.87--L67.38--L37.87
inverse_symmetric_moth	inverse symmetric moth	pentagon	line_1.0, line_0.63, line_0.36, line_0.36, line_0.63	L0--L108.43--L105.26--R67.38--L105.26
asymmetric_moth	asymmetric moth	pentagon	line_1.0, line_0.63, line_0.28, line_0.45, line_0.63	L0--L108.43--L26.57--L71.57--L45.0
inverse_asymmetric_moth	inverse asymmetric moth	pentagon	line_1.0, line_0.63, line_0.28, line_0.45, line_0.63	L0--L108.43--L116.57--R71.57--L98.13
symmetric_frog	symmetric frog	pentagon	line_1.0, line_0.36, line_0.82, line_0.82, line_0.36	L0--L146.31--R42.27--L151.93--R42.27
inverse_symmetric_frog	inverse symmetric frog	pentagon*	line_1.0, line_0.36, line_0.82, line_0.82, line_0.36	L0--L146.31--L109.65--R151.93--L109.65
asymmetric_frog	asymmetric frog	pentagon	line_1.0, line_0.36, line_0.8, line_0.89, line_0.36	L0--L146.31--R56.31--L153.43--R29.74
inverse_asymmetric_frog	inverse asymmetric frog	pentagon*	line_1.0, line_0.36, line_0.8, line_0.89, line_0.36	L0--L146.31--L123.69--R153.43--L97.13
symmetric_fish	symmetric fish	pentagon*	line_0.36, line_0.36, line_0.85, line_0.2, line_0.85	L0--L112.62--L54.25--R110.56--R110.56
inverse_symmetric_fish	inverse symmetric fish	pentagon*	line_0.361, line_0.361, line_0.854, line_0.2, line_0.854	L0--R112.62--L166.866--R110.556--R110.556
asymmetric_fish	asymmetric fish	pentagon*	line_0.36, line_0.22, line_0.85, line_0.2, line_0.85	L0--L97.13--L47.12--R110.56--R110.56
inverse_asymmetric_fish	inverse asymmetric fish	pentagon*	line_0.316, line_0.141, line_0.854, line_0.2, line_0.854	L0--R63.435--L155.556--R110.56--R110.56
balanced_fish	balanced_fish	pentagon*	line_0.36, line_0.36, line_0.86, line_0.6, line_0.86	L0--L112.62--L69.23--R125.54--R125.54
two_equilateral_triangles	two equilateral triangles	pentagon*	line_1.0, line_0.5, line_0.5, line_0.5, line_0.5	L0--L120.0--L120.0--R120.0--L120.0
two_same_right_triangles	two same right triangles	pentagon*	line_1.0, line_0.5, line_0.707, line_0.5, line_0.707	L0--L90.0--L135.0--R135.0--L135.0
two_mirror_right_triangles	two mirror right triangles	pentagon*	line_1.0, line_0.5, line_0.707, line_0.707, line_0.5	L0--L90.0--L135.0--R90.0--L135.0
two_updown_right_triangles	two updown right triangles	pentagon*	line_1.0, line_0.5, line_0.707, line_0.5, line_0.707	L0--L90.0--L135.0--L45.0--R135.0
right_equilateral_triangles	right equilateral triangles	pentagon*	line_1.0, line_0.5, line_0.707, line_0.5, line_0.5	L0--L90.0--L135.0--R105.0--L120.0
two_unbalanced_triangles	two unbalanced triangles	pentagon*	line_1.0, line_0.8, line_0.943, line_0.224, line_0.316	L0--L90.0--L147.995--R84.56--L45.0
two_mirror_unbala_triangles	two mirror unbalanced triangles	pentagon*	line_1.0, line_0.8, line_0.943, line_0.224, line_0.316	L0--L90.0--L147.995--R31.43--R45.0
two_same_obtuse_triangles	two same obtuse triangles	pentagon*	line_1.0, line_0.424, line_0.854, line_0.424, line_0.854	L0--L45.0--L155.556--R155.556--L155.556
two_mirror_obtuse_triangles	two mirror obtuse triangles	pentagon*	line_1.0, line_0.424, line_0.854, line_0.854, line_0.424	L0--L45.0--L155.556--R41.112--L155.556
two_updown_obtuse_triangles	two updown obtuse triangles	pentagon*	line_1.0, line_0.424, line_0.854, line_0.424, line_0.854	L0--L45.0--L155.556--L114.444--R155.556
big_small_equil_triangles	big and small equilateral triangles	pentagon*	line_1.0, line_0.2, line_0.2, line_0.8, line_0.8	L0--L120.0--L120.0--R120.0--L120.0
big_small_right_triangles	big and small right triangles	pentagon*	line_0.9, line_0.2, line_0.283, line_0.7, line_0.99	L0--L90.0--L135.0--R135.0--L135.0
big_small_obtuse_triangles	big and small obtuse triangles	pentagon*	line_0.791, line_0.111, line_0.25, line_0.447, line_1.0	L0--L45.0--L153.435--R153.435--L153.435
regular_hexagon	regular hexagon	hexagon	line_0.5, line_0.5, line_0.5, line_0.5, line_0.5, line_0.5	L0--L60.0--L60.0--L60.0--L60.0--L60.0
right_hexagon	right hexagon	hexagon	line_1.0, line_0.6, line_0.424, line_0.4, line_0.424, line_0.6	L0--L90.0--L45.0--L45.0--L45.0--L45.0
inverse_right_hexagon	inverse right hexagon	hexagon	line_1.0, line_0.6, line_0.424, line_0.4, line_0.424, line_0.6	L0--L90.0--L135.0--R45.0--R45.0--L135.0
inverse_obtuse_hexagon	inverse obtuse hexagon	hexagon	line_0.6, line_0.632, line_0.424, line_0.4, line_0.424, line_0.632	L0--L71.565--L153.435--R45.0--R45.0--L153.435
acute_hexagon	acute hexagon	hexagon	line_1.0, line_0.632, line_0.283, line_0.2, line_0.283, line_0.632	L0--L108.435--L26.565--L45.0--L45.0--L26.565
inverse_acute_hexagon	inverse acute hexagon	hexagon	line_1.0, line_0.632, line_0.283, line_0.2, line_0.283, line_0.632	L0--L108.435--L116.565--R45.0--R45.0--L116.565
square_acute_hexagon	square acute hexagon	hexagon	line_1.0, line_0.671, line_0.4, line_0.4, line_0.4, line_0.671	L0--L116.565--R26.565--L90.0--L90.0--R26.565
inverse_square_acute_hexagon	inverse square acute hexagon	hexagon	line_1.0, line_0.671, line_0.4, line_0.4, line_0.4, line_0.671	L0--L116.565--L153.435--R90.0--R90.0--L153.435
rect_acute_hexagon	rectangle acute hexagon	hexagon	line_1.0, line_0.671, line_0.2, line_0.4, line_0.2, line_0.671	L0--L116.565--R26.565--L90.0--L90.0--R26.565
inverse_rect_acute_hexagon	inverse rectangle acute hexagon	hexagon	line_1.0, line_0.671, line_0.2, line_0.4, line_0.2, line_0.671	L0--L116.565--L153.435--R90.0--R90.0--L153.435
trapez_acute_hexagon	trapezoid acute hexagon	hexagon	line_1.0, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--R26.565--L116.565--L63.435--R26.565
inverse_trapez_acute_hexagon	inverse trapezoid acute hexagon	hexagon	line_1.0, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--L153.435--R116.565--R63.435--L153.435
triangle_acute_hexagon	triangle acute hexagon	hexagon	line_1.0, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--R26.565--L153.435--R63.435--L63.435
inverse_triangle_acute_hexagon	inverse triangle acute hexagon	hexagon	line_1.0, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--L153.435--R153.435--L63.435--L63.435
square_parallelogram	square parallelogram	hexagon	line_0.4, line_0.671, line_0.4, line_0.4, line_0.4, line_0.671	L0--L116.565--R26.565--L90.0--L90.0--L26.565
inverse_square_parallel	inverse square parallelogram	hexagon*	line_0.4, line_0.671, line_0.4, line_0.4, line_0.4, line_0.671	L0--L116.565--L153.435--R90.0--R90.0--R153.435
rect_parallelogram	rectangle parallelogram	hexagon	line_0.4, line_0.671, line_0.2, line_0.4, line_0.2, line_0.671	L0--L116.565--R26.565--L90.0--L90.0--L26.565
inverse_rect_parallel	inverse rectangle parallelogram	hexagon*	line_0.4, line_0.671, line_0.2, line_0.4, line_0.2, line_0.671	L0--L116.565--L153.435--R90.0--R90.0--R153.435
trapez_parallelogram	trapezoid parallelogram	hexagon	line_0.4, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--R26.565--L116.565--L63.435--L26.565
inverse_trapez_parallel	inverse trapezoid parallelogram	hexagon*	line_0.4, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--L153.435--R116.565--R63.435--R153.435
